岗位名称,岗位职责,职业代码
资深C++服务器,"工作描述： 负责无限幻想（和乐视、微软、VR厂商以及一家玩具公司合作开发的一款于电视兼PS，xbox-one,VR平台上运行的玩具类型游戏）后端服务器的战斗系统框架及功能的开发和部分游戏外围服务器功能的开发。",1
软件研发工程师,工作描述： 负责服务器游戏系统逻辑部分的开发和维护，负责基础库底层代码的修改和维护。与前端配合完成游戏效果的测试与调试。,1
C++后端程序员,"负责游戏后端逻辑的开发(语言C++和脚本以及java)。注:项目较多,可以电话交流。",1
C++服务器,工作描述：负责游戏后端逻辑的开发（语言C++和脚本以及java）。注：项目较多，可以电话交流。,1
后端程序员,"工作描述： 项目时间：2013/10-2013/1 项目名称：热血传奇游戏的开发(开发后期) 开发语言：C++,lua脚本语言 项目描述：游戏系统功能在就职之前已经完成了开发，主要做的是一些活动的内容及一些系统的修改，以及熟悉开发脚本的其他的一些功能和少部分C++逻辑开发部分代码 责任描述：主要负责该游戏项目后期的一些活动补偿，活动公告，和一些活动后端逻辑的编写以及其他系统的修改。熟悉一些lua和C++项目文件的接口，了解一些系统机制 项目业绩： 双倍经验的补偿，新手卡物品配表的添加，活动物品的系统补偿处补偿，公告的发布，系统消息的发送，造物品以及一些活动根据条件和物品表来显示和领取物品，推送图标，押镖系统的修改，暗影禁地系统的一些修改，传送物品及地图之间传送的改写，BUG的一些修改。 项目时间：2014/1-2014/4 项目名称：新传奇国度游戏的开发 开发语言：C++,lua脚本语言 项目描述：游戏系统功能在就职之前已经完成了开发，主要做的是一些活动的内容及一些系统的修改，以及熟悉开发脚本的其他的一些功能和C++逻辑开发部分代码 责任描述：主要负责系统和活动的开发 项目业绩：新手卡配置物品的添加，发送邮件进行物品的补偿，公告的发送，系统公告的定时提示，图标的推送，造物品以及各种活动（每日首冲，每日充值领取，累计充值领取，七日(Vip和普通)，充值送豪礼，每月奖励，精彩活动，合区活动，开服活动）后端推包显示和领取，传送物品和传送功能的改写，以及系统功能的迁移，装备副本系统的开发，押镖系统的开发，装备升级和装备升级，复活功能的开发，一些功能和系统的迁移，BOSS Ai功能的一些开发，沙城争霸的一些修改，VIP专属副本，特殊戒指兑换，离线经验补偿，打坐，烤火活动，挑战BOSS,NPC的一些修改以及C++后端对应功能的一些修改。 项目时间：2014/1-2014/4 项目名称：新传奇国度游戏的开发 开发语言：C++,lua脚本语言 项目描述：主要做的是一些活动的内容及一些系统的修改，以及熟悉开发脚本的其他的一些功能和C++逻辑开发部分代码 责任描述：主要负责该游戏的一些系统功能的开发与一些活动后端脚本逻辑的开发，游戏后端C++逻辑的开发。 项目业绩：新手卡配置物品的添加，发送邮件进行物品的补偿，公告的发送，系统公告的定时提示，图标的推送，造物品以及各种活动（每日首冲，每日充值领取，累计充值领取，七日(Vip和普通)，充值送豪礼，每月奖励，精彩活动，合区活动，开服活动，抽奖活动，返还有礼）后端推包显示和领取，传送物品和传送功能的改写，以及系统功能的迁移，装备副本系统的开发，押镖系统的开发，装备升级和装备升级，复活功能的开发，一些功能和系统的迁移，BOSS Ai功能的一些开发，沙城争霸的一些修改，VIP专属副本，特殊戒指兑换，离线经验补偿，打坐，烤火活动，挑战BOSS,NPC的一些修改，挖矿副本，坐骑和魔宠副本，盟重争霸和王城争霸，安全挂机，武魂系统，神秘魔窟及C++后端逻辑功能的一些开发与修改。",1
信息工程部,工作描述： 参与了四会市城乡规划局四会市城市基础地形测绘招标文件的招标并进行地理测绘的一些开发，主要应用到上述开发工具与开发库进行CAD的二次开发，并绘制出三维地理信息图形。,1
C++软件工程师,"服务端远程桌面的二次开发,缓存工具的开发,资产管理系统和交易平台的开发和证券资讯平台开发。",1
C++程序,工作描述：服务端远程桌面，缓存工具的开发，资源管理系统与财经交易平台，证券资讯平台开发以及迭代开发。,1
c++软件工程师,"工作描述： 2010年10月至2011年10月份在大智慧股份有限公司（武汉）文华财经系统升级版本的新增模块的开发与资产管理系统的修改，并进行文档的整理与维护。 开发工具： Visual C++6.0,SQLServer2005代码管理器等开发工具。 负责一些流程面板的创建与连接，行情终端面板的变化的绘制以及数据库的显示及更新。",1
C++软件工程师,"2010年3月在长城宽带（武汉）独立完成远程控制系统桌面应用模块和缓存系统工具及测试。 开发工具： Visual studio.2005,SQLServer2005代码管理器等开发工具。 项目描述：远程桌面系统（服务器）功能简介：主要分为主机信息存储设计、添加主机、修改主机、删除主机、远程连接的一些功能。 其中主机信息存储定义了一个类，获取动态存储文件进行存储，添加主机信息，删除主机信息，查找主机信息，获取主机信息，判断主机信息是否存在，主机信息数目，保存主机信息以及读取主机信息。 	添加主机信息与修改主机信息的对话框类主要是对主机信息添加到主对话框中的列表控件中，删除主机信息是从信息结构体中的数据删除一条或多条信息后要保存并在主机信息列表控件中进行刷新获取主机信息，连接主机要从列表控件中获取主机信息，并创建进程，进行远程连接。 2010年6月在长城宽带（武汉）与和团队开发人员一起开发一款名叫西瓜的影音播放器。? 开发工具： Visual studio.2005,SQLServer2005代码管理器等开发工具。",1
C软件工程师, ,1
项目经理项目主管,工作描述： 负责管理开发组5款游戏的任务分配，会议总结，玩家反馈bug会议总结，前后端bug修改，游戏重构与运营维护。,1
C++战斗资深服务器,"工作描述： 负责无限幻想（和乐视、微软、一家玩具厂商合作开发的一款于电视兼PS,xbox-one,VR平台上运行的玩具类型游戏）后端服务器的战斗系统框架及功能的开发和部分游戏外围服务器功能的开发。",1
C++战斗资深服务器,"工作描述： 负责无限幻想（和乐视、微软、一家玩具厂商合作开发的一款于电视兼PS,xbox-one,VR平台上运行的玩具类型游戏）后端服务器的战斗系统框架及功能的开发和部分游戏外围服务器功能的开发。",1
资深C++服务器,"工作描述： 负责无限幻想（和乐视、微软、VR厂商以及一家玩具公司合作开发的一款于电视兼PS，xbox-one,VR平台上运行的玩具类型游戏）后端服务器的战斗系统框架及功能的开发和部分游戏外围服务器功能的开发。",1
C++后端程序员,工作描述： 负责游戏后端逻辑的开发（语言C++和脚本以及java）。注：项目较多，可以电话交流。,1
C++后端程序员,工作职责： 负责游戏后端逻辑的开发（语言C++和脚本以及java）。注：项目较多，可以电话交流。服务端远程桌面的二次开发，缓存工具的开发，资产管理系统和交易平台的开发和证券资讯平台开发。,1
C++服务器,工作描述： 负责游戏后端逻辑的开发（语言C++和脚本以及java）。注：项目较多，可以电话交流。,1
C++软件工程师,工作描述： 服务端远程桌面的二次开发，缓存工具的开发，资产管理系统和交易平台的开发和证券资讯平台开发。,1
C++软件工程师,工作描述： 服务端远程桌面的二次开发，缓存工具的开发，资产管理系统和交易平台的开发和证券资讯平台开发。,1
C++程序,工作描述： 服务端远程桌面，缓存工具的开发，资源管理系统与财经交易平台，证券资讯平台开发以及迭代开发。,1
平台/产品经理,1.入司不久，便接手核心渠道营销平台，三个月内摸清平台重要规则，负责平台新产品宣导、培训和推广运营，推进跨部门、跨公司协调沟通工作。 2.在缺少资源和资金的情况下，牵头制定行业标准。 3.负责多项重点功能的研发：销售行为可追溯、公安检验、生物识别、B-C互通、移动双录。 4.主导手机端销售平台的大版本迭代。 5.负责新技术调研及引入可行性研究、招标主持、商务谈判及采购督促。 6.入司第一年业绩评为A（前2%）。,0
产品经理（平台）,工作描述： 1.移动销售平台管理（承担公司90%+的销售额）。负责平台新功能研发、宣导、培训和运营，推进跨部门、跨公司协调沟通工作。 2.主导重点功能的研发：生物识别平台建设（声纹识别、人脸识别）、销售行为可追溯等。  3.负责新技术调研及引入可行性研究、招标主持、商务谈判及采购督促。  4.连续两年个人绩效评为A（前2%）。,0
互联网产品经理/主管,工作描述： 1.入司不久，便接手核心渠道营销平台，三个月内摸清平台重要规则，负责平台新产品宣导、培训和推广运营，推进跨部门、跨公司协调沟通工作。  2.在缺少资源和资金的情况下，牵头制定行业标准。  3.负责多项重点功能的研发：销售行为可追溯、公安检验、生物识别、B-C互通、移动双录。  4.主导手机端销售平台的大版本迭代。  5.负责新技术调研及引入可行性研究、招标主持、商务谈判及采购督促。  6.入司第一年业绩评为A（前2%）。,0
互联网产品经理,web及app产品设计；跟踪和把控相关产品开发周期、协调各方资源，推进产品项目进度；公司项目开发、测试、验收； 产品及系统上线后的运营监控。,1
互联网产品经理/主管,工作描述： 负责P2P相关金融产品的设计及需求分析等工作。,1
产品开发工程师,1.产品前期规划及市场调研，主导制定相关技术对接方案 2.产品需求文档撰写。  3.协调项目参与方开发人员、业务人员及合作伙伴，促进产品项目开发正常完成。  4.负责手机客户端（IOS/ANDROID）的测试验收及应用发布，并维护更新应用版本。  5.制定策划方案，协助市场营销部门做产品推广。研究产品设计改进方案。  6.培训和指导分公司人员应对产品常见问题。 7.产品已成功应用于直销、出租车、金融服务、零售批发等行业。,1
产品需求和项目管理,工作描述： 1.产品前期规划及市场调研，主导制定相关技术对接方案 2.产品需求文档撰写。  3.协调项目参与方开发人员、业务人员及合作伙伴，促进产品项目开发正常完成。  4.负责手机客户端（IOS/ANDROID）的测试验收及应用发布，并维护更新应用版本。  5.制定策划方案，协助市场营销部门做产品推广。研究产品设计改进方案。  6.培训和指导分公司人员应对产品常见问题。 7.产品已成功应用于直销、出租车、金融服务、零售批发等行业。,1
产品需求经理,工作描述： 负责公司支付产品及系统的技术设计、需求分析、开发、测试、以及系统上线后运营监控等工作。,1
产品经理,工作描述： 负责公司支付产品及系统的技术设计、需求分析、开发、测试、以及系统上线后运营监控等工作。,1
软件产品开发工程师, 工作职责： 1、分析产品需求、设计产品原型，并形成产品需求和确定相关技术接口文档； 2、 协调各开发部门，确保产品从设计、开发到上线的如期完成； 3、调研产品市场响应，并提出相应改进方案； 4、测试应用，并进行部分应用功能实现； 5、研究市场主流技术，将新技术应用于产品实现 工作业绩： 1.协调项目参与方，促进产品项目开发正常完成。 2.制定产品第三方调用接口文档，并已成功运用于房产、零售、电商等行业应用。 3.完整参与产品一代开发，产品一代已上线运营一年。产品运营初始，制作产品宣传手册、操作手册及分公司人员产品操作手册等文档。产品正是运营之后，进行市场调研，并指导分公司人员应对产品常见问题。 4.根据产品一代的实际运营情况，设计产品二代，与技术项目人员讨论之后，撰写详细的需求文档。,1
电气工程师, 工作职责： 宝钢新建工厂项目中的设备采购、布置、招标等相关工作。 宝钢新建厂房及相关辅助建筑的电气设计等工作。,1
电气工程师,"工作描述： ?	2009-2010 钢结构营运中心项目组，宝钢新建工厂项目中的设备采购、布置、招标等工作。 ?	2008-2009 宝钢建筑设计院，宝钢新建厂房及辅助建筑物的电气设计工作。",1
产品经理,1.参与科创业务投贷联动投资项目尽职调查 2.整理尽职调查资料，进行行业研究、财务研究和主营业务研究 3.制作投资上会材料 4.负责贷后报告和风险测评 5.前后参与负责约10家科创企业的投资方案设计，大部分上会通过，投放资金完成,0
交易员,"工作职责：通过恒生系统整理每日融资回购和融券回购数据并上报未还清借款的基金，编写VBA程序优化交易员数据处理，整理线下新股申购材料，用恒生系统确认基金申购赎回份额和金额，并将每日基金净值上报到各个销售部门    工作性质：  	  	  月薪：  	  0    所属行业：  	  	  公司规模：  	    离职原因  	  	    	      项目经验",0
Trader assistant,"Positiontitle:  	  Trader assistant  	  Job duties:  	  Collect the repo data from system to decide which fund haven't paid off the loan then notice the colleague, code the VBA to help trader, finish the materials to purchase the new stocks off-line, confirm the purchase and redemption instruction, deliver the funds' net value to market department Job nature:  	  	  Company scale:  	  0 Industry:  Project experience  Project experience",0
顾问助理,"工作职责：参与京基100开泰银行（kbank）核心银行系统Flexcube的后期咨询服务，并负责每日用PL/SQL从数据库中导出银行各类业务的日报表并核查，包括Casa, Movement, Deposit等等，同时上报交易的授权状况和未完成交易 监控数据库，负责每日跑批后检查主数据库和备用数据库的状态    工作性质：  	  	  月薪：  	  0    所属行业：  	  	  公司规模：  	    离职原因",1
Consultant assistant,"Positiontitle:  	  Consultant assistant  	  Job duties:  	  Participate in the Accenture consulting program on the core banking system Flexcube for Kbank, mainly to process the datadump from database by PL/SQL, including the Casa form, Movement form and Deposit form. Meanwhile report the pending transaction and authorization Monitor the database and check the status of both main and backup database everyday  Job nature:  	  	  Company scale:  	  0 Industry:",1
Consultant assistant,"Positiontitle:  	  Consultant assistant  	  Job duties:  	  Help provide the engagement projects for tens of company. Analyze the data from staff survey and contact with staffs to collect feedback, then to deal with affairs in compensation projects Help to organize the `2014 Aon Hewitt Hi-tech Pay strategy and salary budget study' program, and connect with HR managers from hundreds of Hi-tech company in China  Job nature:  	  	  Company scale:  	  0 Industry:",1
前端开发,"工作描述： 1.公司官网和各个展会项目网站的制作和迭代（包括手机站）。 2.负责和ui设计人员沟通,并根据设计psd图完成网站预期的视觉效果。 3.负责和后台进行php和ajax的交互完成网站后台的功能。 4.负责整理和维护网站后台数据。",1
前端开发,工作描述： 负责 pc网站以及手机h5网站的前端开发，html css js ajax 代码的编写，以及少量的与php后台的交互,1
电气工程师,"工作描述： 针对高铁动车运行过程中的数据利用单片机进行分析处理。 使用Microsoft Visual C++,Keil C51等软件编程对高铁的计算机端口实现控制。",1
学生实践,工作描述： 主要负责质谱仪的维修与排故,0
学生实践,工作描述： 主要负责武器设备的检测及排故,0
软件测试工程师,工作描述： 1. 负责中国移动NGCRM系统、物联网系统的测试工作； 2. 根据需求项目计划和系统的功能规范，制定测试计划； 3. 根据测试计划准备测试数据； 4. 使用测试工具，按照测试计划对产品进行功能测试和自动化测试，并记录和反馈测试执行结果； 5. 编写测试报告； 6. 对测试计划可能出现的问题进行分析和评估； 7 设计和维护测试工具； 8.按需求、时间、质量等约束完成所参与的开发项目 9.评审其他测试同事的测试用例，分析测试需求并输出测试分析文档 10.参与开发代码评审,1
软件工程师,"工作描述： 负责Android客户端产品的开发，根据客户要求使用Axure RP Pro设计出原型界面并根据设计效果完成程序开发； 负责微信端界面开发设计； 负责开发文档的整理和编写； 编写软件相关包括需求分析、设计评审，制定测试计划，设计和执行测试用例，负责撰写各类测试报告,软件缺陷的管理、跟踪及处理；",1
软件测试,所属行业：通信/电信（设备/运营/增值）  职位类别：  计算机/网络技术-软件测试  职位月薪（税前）：  7500元/月  职责描述：  进行手机软件测试，主要针对手机的系统及功能方面的测试。  主要测试的手机操作系统有Android，windows。  测试的手机类型有HTC，lenovo，乐视，ZUK，Sony，Acer，Lumia等  工作内容：  1.项目管理  根据项目周期，掌控每天的测试进度，合理安排每天的人力数量，分配人力测试条目数，整理每天的Issue，Review每天的测试结果，向TPL提交每天的测试进度，提交Bugzilla，处理RD的问题，提交相关信息，追踪Issue处理进度，更新Bug处理结果。  2.手机外场测试  根据项目要求，分配不同的人员进行外场测试，主要测试中国联通/移动LTE终端外场测试用例，平时还会涉及到GPS，通话，信号，Camera，用户体验等方面的测试。  3.测试  根据编写好的测试用例，执行测试，寻找出手机软件的Bug，整理出问题报告，提交测试结果。,1
软件测试,工作描述： 进行手机软件测试，主要针对手机的系统及功能方面的测试。 主要测试的手机操作系统有Android，windows。 测试的手机类型有HTC，lenovo，乐视，ZUK，Sony，Acer，等。,1
总工程师,工作描述： 1、景观方案总图设计经验。有景观总平面图方案设计能力，富有创意及艺术感。组织参与大型住宅及公共景观设计项目洽谈和投标及技术交底工作并有扩初设计； 负责景观项目 方案至扩初阶段设计工作，指导施工图设计和现场配合；  3、高效率的配合国外设计专家；项目整体规划、深化设计，并主持该项目的筹建工作； 4、 研究并制定营运发展的基本定位，工作方针及发展计划，经营形式，制定和实施经营计划；负责项目的产品定位、营销模式、商渠推广的调研、评审，审核后落实执行。 5、 组织参与方案设计、运营方案的讨论确定，提出专业化的建议；全面负责项目的筹建工作，负责管理架构搭建及团队组建。建立健全管理组织、流程、规章制度与作业规范； 6、制定项目发展计划及营运目标，全面营运及管理，有序开展团队组织建设，设施设备维护、更新，经营管理，市场营销等常规工作； 7、科学整合项目内外资源、策划并开展各项活动；负责建立并维护项目与社会各界的公共关系，树立企业良好形象，协同提升集团品牌价值； 8、负责项目开业后的全面运营管理工作，保证经营收益、建立市场品牌及客户口碑、培养管理团队及骨干员工； 9、建立服务质量管理体系，做好日常运作管理工作。,0
建设方代表/总工,工作描述： 1、主题公园发展与战略协同匹配;主题乐园各项工作，规划、策划期的全面工作。 1.2.主题乐园项目整体规划、深化设计，并主持该项目的筹建工作；对策划、规划、园区布局、设施选定、市场定位、经营模式等工作进行全面主导负总责； 1.3.负责拟开发旅游主题乐园的前期规划、施工进度跟进、设备引进及团队招募等全面管理工作；持续跟进乐园后期规划建设、维修保养以及安全管理工作； 2、以项目整体战略为基础，研究并制定乐园营运发展的基本定位，制定和实施乐园经营计划；科学整合项目内外资源、策划并开展主题乐园各项活动； 2.1.制定项目发展计划及营运目标，主题乐园营运及管理工作，开展团队组织建设，设施设备维护、更新，市场营销等常规工作；持续跟进后期规划建设、维修保养以及安全管理工作;对主题乐园的设施选定、园区布局以及运营中相关的各种配套功能的设计、布置、定位进行全面管控，保证乐园如期完工； 3、建立健全主题乐园管理组织、流程、规章制度与作业规范；管理团队、文化建设，保证公园经营与集团文化价值互融、互生、互通;维护主题乐园与社会各界的公共关系，树立企业良好形象，协同提升集团品牌价值； 3.1.组织制定年度经营管理预算并宣导执行，有效合理地完成各类经营、管理指标;  对儿童主题乐园的产品定位、控制性详规、园区功能布局方式参与协助。 4、产品应用与的施工技术支持，推广课件PPT的制作与更新。 4.1.设备的改进和创新，技术交流讲解推广活动。 5、全权代表甲方别处理工程方面事务！ 5.1、协调管理，施工单位、监理单位、设计单位、建设单位以及相关政府行政 部门办理相关手续等事物。 5.2、控制现场前期、中期、后期，各项审批流程和质量！ 5.3、负责BIM技术的推广和有效应用。论证施工工艺和施工方案，控制工程费用！,0
应用技术总监 总工程师,工作描述： 1、辅助完成代理商及经销商的招投标工作。 2、针对本公司，防水产品及技术推广宣传。 3、PPT宣传片的制作和防水技术讲解。 4、新产品的施工技术和设备改进工作。 5、防水产品的技术公关及施工混搭技术的应用。 6、组织本应用技术部门日常工作。学习先进防水新技术，完成各种防水材料在施工项目的实际应用并经常行的进行实验记录实验结果等工作。 7、研究房地产建筑新模式，为将来防水应用打下良好技术储备。 8、施工现场施工指导、施工方案、预决算等工作。,0
项目总工程师,工作描述： 1、主题公园发展与战略协同匹配;主题乐园各项工作，规划、策划期的全面工作。 1.2.主题乐园项目整体规划、深化设计，并主持该项目的筹建工作；对策划、规划、园区布局、设施选定、市场定位、经营模式等工作进行全面主导负总责； 1.3.负责拟开发旅游主题乐园的前期规划、施工进度跟进、设备引进及团队招募等全面管理工作；持续跟进乐园后期规划建设、维修保养以及安全管理工作； 2、以项目整体战略为基础，研究并制定乐园营运发展的基本定位，制定和实施乐园经营计划；科学整合项目内外资源、策划并开展主题乐园各项活动； 2.1.制定项目发展计划及营运目标，主题乐园营运及管理工作，开展团队组织建设，设施设备维护、更新，市场营销等常规工作；持续跟进后期规划建设、维修保养以及安全管理工作;对主题乐园的设施选定、园区布局以及运营中相关的各种配套功能的设计、布置、定位进行全面管控，保证乐园如期完工； 3、建立健全主题乐园管理组织、流程、规章制度与作业规范；管理团队、文化建设，保证公园经营与集团文化价值互融、互生、互通;维护主题乐园与社会各界的公共关系，树立企业良好形象，协同提升集团品牌价值； 3.1.组织制定年度经营管理预算并宣导执行，有效合理地完成各类经营、管理指标;  对儿童主题乐园的产品定位、控制性详规、园区功能布局方式参与协助。 4、产品应用与的施工技术支持，推广课件PPT的制作与更新。 4.1.设备的改进和创新，技术交流讲解推广活动。,0
工程应用技术/总工,工作描述： 1、景观方案总图设计经验。有景观总平面图方案设计能力，富有创意及艺术感。组织参与大型住宅及公共景观设计项目洽谈和投标及技术交底工作并有扩初设计； 负责景观项目 方案至扩初阶段设计工作，指导施工图设计和现场配合；  3、高效率的配合国外设计专家；项目整体规划、深化设计，并主持该项目的筹建工作； 4、 研究并制定营运发展的基本定位，工作方针及发展计划，经营形式，制定和实施经营计划；负责项目的产品定位、营销模式、商渠推广的调研、评审，审核后落实执行。 5、 组织参与方案设计、运营方案的讨论确定，提出专业化的建议；全面负责项目的筹建工作，负责管理架构搭建及团队组建。建立健全管理组织、流程、规章制度与作业规范； 6、制定项目发展计划及营运目标，全面营运及管理，有序开展团队组织建设，设施设备维护、更新，经营管理，市场营销等常规工作； 7、科学整合项目内外资源、策划并开展各项活动；负责建立并维护项目与社会各界的公共关系，树立企业良好形象，协同提升集团品牌价值； 8、负责项目开业后的全面运营管理工作，保证经营收益、建立市场品牌及客户口碑、培养管理团队及骨干员工； 9、建立服务质量管理体系，做好日常运作管理工作。辅助完成代理商及经销商的招投标工作。 10、针对防水产品及技术推广宣传。PPT宣传片的制作和防水技术讲解。 13、新产品的施工技术和设备改进工作。防水产品的技术公关及施工混搭技术的应用。 14、组织本应用技术部门日常工作。学习先进防水新技术，完成各种防水材料在施工项目的实际应用并经常行的进行实验记录实验结果等工作。 15、研究房地产建筑新模式，为将来防水应用打下良好技术储备。施工现场施工指导、施工方案、预决算等工作。,0
副总工,1工业与民用建筑规划、古建筑工程设计，环境工程设计、室内装潢设计、建筑设计甲级、国家一级建筑施工; 战略规划管理、投资分析管理、组织绩效管理、项目运营管理。 2、熟知国家和地区先行各项设计规范法规和地产公司设计管理程序，对项目定位策划、成本造价及工程建设以有一定的认识和经验；具备较强管理与协调能力，接受新鲜事物，具备良好的团队精神和沟通能力；拥有电影产业园、主题乐园、电影乐园、演艺场所、艺术精品酒店等商业地产项目相关经验； 3、建立及完善乐园的运营体系；服务标准和操作规范，提升并培训员工和外包公司服务人员的服务水平；游客的安全运营体系；督导现场运营管理及紧急状况应急处理；建立良好的游客关系、合作商关系，并处理好相关投诉； 4、收集园区运营数据并对数据进行分析；跨部门的协作和沟通，配合营销推广等相关活动；游乐设施及现场其他设备的操作管理及标准作业流程建立与维护；现场固定资产（设施设备器材等）及所有建筑的安全管理； 5、负责餐饮等外包承租商的销售规划与管理，并应以园区客服标准管理规范并达成营收与服务指标；统筹安排现场工作人员班次以及绩效考核管理； 6、负责开发项目全周期一、二级节点计划的制订，过程跟踪；协调项目开发三级计划和各专项计划，过程跟踪；组织定期的运营会议，落实决议事项。项目可行性研究报告及各项目开发建议书； 项目全过程开发一、二级节点计划。 7、负责财湖旅游度假区、航展厅、机场、航站楼、飞机生产制造区、生活娱乐区等项目的策划、规划设计、项目论证、市场经营管理体系建立组织实施等工作。组织编制工程技术标准、施工工艺等技术规范，并负责组织落实执行。组织编制项目施工总体设计、能独立处理各种工程技术难题，能独立的审核设计单位及承包方提供的图纸、技术。对开发建设项目从开工到工程竣工的施工全过程的工程质量、工程进度、安全文明施工负责。园区总体规划和景观设计，施工工艺的落实，成本控制及测算。 8、项目策划定位，组织项目前期技术调研、个专业设计条件整合及各阶段设计任务书编制；设计单位筛选、委托工作；方案阶段的组织实施，包括规划方案、建筑单位设计/室内设计/景观设计、产品标准确定等；技术设计（扩初、施工图）的组织实施，组织开展二次专项设计工作；规划方案、建筑单位设计/景观设计的设计过程控制、成果审核；相关专业（结构、水暖、电气、景观、装饰设计）的组织、协调；施工配合与技术控制、效果控制；协助完成项目开工、规划验收等相关手续办理；组织设计成果的后评估工作； 按时完成领导交办的其它工作。,0
BIM景观规划设计  总工,工作描述： 1、工业与民用建筑规划、古建筑工程设计，环境工程设计、室内装潢设计、建筑设计甲级、国家一级建筑施工。 2、熟知国家和地区先行各项设计规范法规和地产公司设计管理程序，对项目定位策划、成本造价及工程建设以有一定的认识和经验； 3、负责开发项目全周期一、二级节点计划的制订，过程跟踪；协调项目开发三级计划和各专项计划，过程跟踪；项目可行性研究报告及各项目开发建议书；  4、组织编制工程技术标准、施工工艺等技术规范，并负责组织落实执行。组织编制项目施工总体设计、能独立处理各种工程技术难题，能独立的审核设计单位及承包方提供的图纸、技术。 5、对开发建设项目从开工到工程竣工的施工全过程的工程质量、工程进度、安全文明施工负责。园区总体规划和景观设计，施工工艺的落实，成本控制及测算。 6、项目策划定位，组织项目前期技术调研、个专业设计条件整合及各阶段设计任务书编制；设计单位筛选、委托工作； 7、方案阶段的组织实施，包括规划方案、建筑单位设计/室内设计/景观设计、产品标准确定等；技术设计（扩初、施工图）的组织实施，组织开展二次专项设计工作；规划方案、建筑单位设计/景观设计的设计过程控制、成果审核；相关专业（结构、水暖、电气、景观、装饰设计）的组织、协调； 8、施工配合与技术控制、效果控制；协助完成项目开工、规划验收等相关手续办理；组织设计成果的后评估工作； 按时完成领导交办的其它工作。,0
BIM景观规划设计  总工,工作描述： 1、工业与民用建筑规划、古建筑工程设计，环境工程设计、室内装潢设计、建筑设计甲级、国家一级建筑施工。 2、熟知国家和地区先行各项设计规范法规和地产公司设计管理程序，对项目定位策划、成本造价及工程建设以有一定的认识和经验； 3、负责开发项目全周期一、二级节点计划的制订，过程跟踪；协调项目开发三级计划和各专项计划，过程跟踪；项目可行性研究报告及各项目开发建议书；  4、组织编制工程技术标准、施工工艺等技术规范，并负责组织落实执行。组织编制项目施工总体设计、能独立处理各种工程技术难题，能独立的审核设计单位及承包方提供的图纸、技术。 5、对开发建设项目从开工到工程竣工的施工全过程的工程质量、工程进度、安全文明施工负责。园区总体规划和景观设计，施工工艺的落实，成本控制及测算。 6、项目策划定位，组织项目前期技术调研、个专业设计条件整合及各阶段设计任务书编制；设计单位筛选、委托工作； 7、方案阶段的组织实施，包括规划方案、建筑单位设计/室内设计/景观设计、产品标准确定等；技术设计（扩初、施工图）的组织实施，组织开展二次专项设计工作；规划方案、建筑单位设计/景观设计的设计过程控制、成果审核；相关专业（结构、水暖、电气、景观、装饰设计）的组织、协调； 8、施工配合与技术控制、效果控制；协助完成项目开工、规划验收等相关手续办理；组织设计成果的后评估工作； 按时完成领导交办的其它工作。,0
管理技术 工程副总,1工程项目管理：改、扩建工程管理，新建项目设计管理和景观造园。室外内景观创意设计，工艺研发现场设计施工管理及协调的能力。负责与境外设计公司、本地设计院的工作对接的工作对接和补充协议的谈判签订，方案的评审；施工图的评审。工程技术及日常运营管理，解决运营管理中遇到的问题组织项目论证。 协助甲方单位进行项目规划方案的完成，技术论证，建筑安装工程的成本控制及成本分析；组织初步设计、总图设计、施工图设计会审；组织监督、工程质量、工程安全管理、工程计划管理、工程施工等工作；组织工程的验收工作。控制工程投资额；项目预算执行，控制成本，实现项目的利润最大化； 2、组织管理体系建立职能管理：主持园区运营管理工作，制定年度业绩目标及经营发展战略方案，实现园区经营管理目标；负责园区统筹管理，建立及改善运营体系，包括组织架构搭建、整体运营、机制建设、队伍建设及日常管理等工作，保持园区持续稳健发展； 3、负责制定园区基础运营服务体系建设标准，进行园区商务、交通、餐饮等配套商家的引进及日常运营管理，商业品牌的谈判与引进；组织园区运营过程中的风险管理工作，对引进的大型游乐设备分配和利用进行合理安排； 4、整合社会相关服务资源，定期举办各类园区活动，服务入园企业，通过持续经营，不断提升园区的影响力和盈利能力；配合营销推广相关活动，调配各经营、服务系统与之有效配合并实现效益；游乐设施的操作管理及标准作业流程建立与维护，并依据标准作业操作管理；游乐设施与所有建筑的安全管理，达成游客与资产管理安全指标； 5、设备安装与技术。具备游乐园或者大型影视基地的特种设备的选型、安装、调试等经验，特别是工程建设阶段的经验；项目管控能力和较强的计划性，可对设备厂家、安装公司、技术专家等进行有效管理，按时间节点完成安装工作；较强的工程现场管理协调； 6、运维管理。旅游地产产品运营工作，项目的招商和运营工作；汇总项目信息，跟踪项目进度，协调项目资源；区域的活动推广，落地支持以及活动的效果分析。新项目商业街的运营管理；商业街运营规划的制定、运营体系的搭建；商业街各项运营指标的达成；政府、行业等相关部门的沟通协调。负责秀场、电影乐园和室外主题乐园等业态特种设备招标工程量清单的编制和综合单价审核；设计变更和现场签证审核；业态特种设备招标工程结算管理； 7、商业娱乐项目开业 前期、中期、后期的筹备生产技术工作。就开业筹 备、前期推广、后期运营的工作节点，制定计划并实施落实；公关事件和主题活动策划。项目市场营销费用的预算支出的控制；营销团队的建设，团队成员的培训及管理。,0
